Rank,Title,Year
231,Chainsaw Man - The Movie: Reze Arc,2025
232,Platoon,1986
233,The Incredibles,2004
234,Hachi: A Dog's Tale,2009
235,The Exorcist,1973
236,Rush,2013
237,The Wizard of Oz,1939
238,Stand by Me,1986
239,The Iron Giant,1999
240,The Passion of Joan of Arc,1928
241,My Father and My Son,2005
242,The Battle of Algiers,1966
243,The Handmaiden,2016
244,Network,1976
245,To Be or Not to Be,1942
246,Gangs of Wasseypur,2012
247,Drishyam,2015
248,The Grapes of Wrath,1940
249,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020
250,The Help,2011
